Skill
Python
Java
C++
Machine Learning
Deep Learning
SQL
Pandas
NumPy
Data Analysis
NLP
TensorFlow
PyTorch
HTML
CSS
JavaScript
Node.js
React
Flask
Django
Docker
Kubernetes
Git
AWS
Azure
Power BI
Tableau
Linux
MongoDB
FastAPI
